
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
[09->15]               0               0        0.000000       -nan(ind)
[10->10]               0               0        0.000000       -nan(ind)
[10->11]               0               0        0.000000       -nan(ind)
[10->12]               0               0        0.000000       -nan(ind)
[10->13]               0               0        0.000000       -nan(ind)
[10->14]               0               0        0.000000       -nan(ind)
[10->15]               0               0        0.000000       -nan(ind)
[11->11]               0               0        0.000000       -nan(ind)
[11->12]               0               0        0.000000       -nan(ind)
[11->13]               0               0        0.000000       -nan(ind)
[11->14]               0               0        0.000000       -nan(ind)
[11->15]               0               0        0.000000       -nan(ind)
[12->12]               0               0        0.000000       -nan(ind)
[12->13]               0               0        0.000000       -nan(ind)
[12->14]               0               0        0.000000       -nan(ind)
[12->15]               0               0        0.000000       -nan(ind)
[13->13]               0               0        0.000000       -nan(ind)
[13->14]               0               0        0.000000       -nan(ind)
[13->15]               0               0        0.000000       -nan(ind)
[14->14]               0               0        0.000000       -nan(ind)
[14->15]               0               0        0.000000       -nan(ind)
[15->15]               0               0        0.000000       -nan(ind)
[  All ]               0               0        0.000000       -nan(ind)
=====================================================================================================================
====================================TopUpMultipleBall Hit Time Record=================================================
Multiple            0 Award Time        : 0
Multiple           50 Award Time        : 0
Multiple          100 Award Time        : 0
Multiple          200 Award Time        : 0
Multiple          500 Award Time        : 0
Multiple         1000 Award Time        : 0
=====================================================================================================================
==========================================BonusGameAward Time Record=================================================
SpinTime 0 Award Time        : 9923096
SpinTime 1 Award Time        : 0
SpinTime 2 Award Time        : 0
SpinTime 3 Award Time        : 0
SpinTime 4 Award Time        : 0
SpinTime 5 Award Time        : 0
SpinTime 6 Award Time        : 0
SpinTime 7 Award Time        : 0
SpinTime 8 Award Time        : 0
SpinTime 9 Award Time        : 0
SpinTime 10 Award Time        : 53394
SpinTime 11 Award Time        : 19146
SpinTime 12 Award Time        : 3729
SpinTime 13 Award Time        : 559
SpinTime 14 Award Time        : 66
SpinTime 15 Award Time        : 9
SpinTime 16 Award Time        : 1
SpinTime 17 Award Time        : 0
SpinTime 18 Award Time        : 0
SpinTime 19 Award Time        : 0
SpinTime 20 Award Time        : 0
SpinTime 21 Award Time        : 0
SpinTime 22 Award Time        : 0
SpinTime 23 Award Time        : 0
SpinTime 24 Award Time        : 0
SpinTime 25 Award Time        : 0
SpinTime 26 Award Time        : 0
SpinTime 27 Award Time        : 0
SpinTime 28 Award Time        : 0
SpinTime 29 Award Time        : 0
SpinTime 30 Award Time        : 0
SpinTime 31 Award Time        : 0
SpinTime 32 Award Time        : 0
SpinTime 33 Award Time        : 0
SpinTime 34 Award Time        : 0
SpinTime 35 Award Time        : 0
SpinTime 36 Award Time        : 0
SpinTime 37 Award Time        : 0
SpinTime 38 Award Time        : 0
SpinTime 39 Award Time        : 0
SpinTime 40 Award Time        : 0
SpinTime 41 Award Time        : 0
SpinTime 42 Award Time        : 0
SpinTime 43 Award Time        : 0
SpinTime 44 Award Time        : 0
SpinTime 45 Award Time        : 0
SpinTime 46 Award Time        : 0
SpinTime 47 Award Time        : 0
